GLOBAL_UID,FID,Tech_UID,techName,Event,eventStartDate,eventEndDate,comment,eventType,Impact,Likelihood,References
86,12,0,Telepresence Equipment,Voice over 5G New Radio (VoNR),2021,2025,"Voice over 5G New Radio enhances video calling experience as the dependencies requirements on underlying technology is removed. It utilises 5G Stand-Alone (5G) architectures, which enables network slicing. This enhances the callers ability to make multiple calls or video calls simultaneously, with little to no latency issues. Since 2019, advancements in 5G SA has made this possible, but extensions to other communication devices such as connected vehicles or wearable IoT devices could be considered.",Integration,High,Medium,
87,12,1,Telepresence Equipment,Telepresence robots become commonplace,2023,2027,"There is a requirement to provide telepresence robotics in the future. For example, classrooms, academies and universities could provide virtual lessons with live streaming via robotic devices. This would increase capacity and reduce impact on teaching as a result of staff shortages. Robotics could also replay previously recorded lessons. Telepresence robotics could also be used in business settings, conferences and exhibitions as sensors can track and record presenters. From a military perspective, robotics are already used in bomb disposal activities, other use cases could include remote communication and evidence collection for recording evidence of war crimes.",Societal Adoption,Low,Low,
88,12,2,Telepresence Equipment,Personalised telepresence equipment and recording of discussions,2023,2027,"Currently, there is a widespread use of personal telepresence equipment, ranging from cameras, microphones and webcam sensors. An advancement in this area could be translating discussions into other languages, particularly for multilingual audiences, international conferences and inter-governmental organisation meetings. Other advancements include documenting spoken discussions in real-time and recording the content in a pdf file, which could be provided to the attendees after the meeting session. Issues around the capabilities of recording and documenting meetings, including the responsibility of data ownership would need to be transparent to consumers.",Societal Adoption,Medium,Low,
89,12,3,Telepresence Equipment,"Immersive telepresence equipment, VR and holograms",2030,2035,"Telepresence equipment could benefit from VR devices that could provide a replication of a physical space, such as a conference hall or a business meeting space. Users could create a realistic avatar and converse as they would in reality. Current users can do this with commercial VR sets but the software required to streamline movement in real-time with low latency requires refinement and development. Holograms of individuals via robotics could also be a solution that enables presenters or attendees to replicate their physical body. For example, a meeting room could contain several camera projectors, thus transporting holographic attendees to the room, removing travel requirements.",Technology Development,High,Medium,
90,12,4,Telepresence Equipment,Room-based telepresence equipment,2022,2027,"Interactive equipment that would enable interaction by an attendee could include IoT smart boards and panoramic hosting screens for large scale meetings or conferences. Currently, smart boards and collaborative applications exist that facilitate shared working. Advancements in smart boards could be with VR headsets and sensors that enable editing in real-time as well as offering users a sense of being physically present. Graphene in panoramic screens would also enable users to experience meetings with superior optical quality.",Production,Medium,Low,
91,12,5,Telepresence Equipment,Legislation on prevention of deep-fake images or videos,2023,2026,"Currently, deep-fake images and videos are present across social media platforms. In the case of telepresence equipment and streaming providers, the presence of deep fake videos or images is a serious concern. Not only would it damage the reputation of an organisation, streaming provider or telepresence manufacturer, but it would also cause serious distress to consumers. The inability for users to differentiate between a deep-fake image or video would generate numerous potential problems. Therefore, there is a real need for legislation to protect users and to successfully identify manipulation of telepresence equipment to create, disseminate and promote the use of deep-fake images.",Legal/Ethical,High,High,
92,12,6,Telepresence Equipment,Legislation on data privacy,2021,2023,"There is a requirement for telepresence manufacturers and streaming providers to be transparent on data collection, storage and protection practices. There is a range of data that could be collected from these devices, including geospatial data, facial and voice recognition. Local storage of data may be created on the telepresence device, which if stolen could be compromised. Users’ data should be protected by data privacy legislation. Additionally, new features or updates which prompt a feedback response from users should also be considered.",Legal/Ethical,Medium,Medium,
93,12,7,Telepresence Equipment,Data security improves,2022,2028,"The maintenance and security management of telepresence equipment must be transparent, particularly regarding their resiliency and robustness against cyber attacks. Data will need to have multiple statuses, data at rest or in transit should be secured with encryption.",Legal/Ethical,Medium,Medium,
94,13,0,Speech-based Interfaces,Reliable automatic translators,2021,2025,"Building on existing capabilities that do live translation of speech, capabilities might develop to the extent where these can be relied on to the same extent as human translators. Further, such capabilities could be used to generate highly accurate meeting transcripts. This could be particularly valuable in a military context, where patrolling personnel may come into regular contact with local populations.",Defence Implication,Medium,Low,
95,13,1,Speech-based Interfaces,Patient monitoring,2021,2025,"Currently, diagnostics and patient consultations are being conducted more frequently online. The use of speech recognition systems could improve the speed and accuracy of diagnostic and selection of treatment. Systems could use Natural Language Processing (NLP) to screen the verbal descriptions of patients when disclosing their symptoms. Algorithms could then provide a series of suggested treatments and Machine Learning capabilities could be applied to improve patient care and monitoring overtime.",Societal Adoption,High,Medium,
96,13,2,Speech-based Interfaces,Access controls for secure sites,2025,2030,"The capabilities of using biometrics with speech recognition technology would be advantageous over traditional biometric methods, such as fingerprints. There is a greater accuracy and longevity of a speech record than that of facial or finger print images, which would need updating on a regular basis. For military purposes, access control systems using voice recognition could be a useful alternative for accessing secure buildings, weapons and warehouses.",Defence Implication,High,Medium,
97,13,3,Speech-based Interfaces,Advances in speech anayltics and AI/ML,2021,2026,"The use of Artificial Intelligence (AI) and Machine Learning (ML) principles in speech analytics will be crucial for commercial industries. For example, advertising could replace current Search Engine Optimisation (SEO) techniques and instead opt for 'Speech Engine Optimisation', which could easily be assimilated with the current device offerings, such as Siri, Google Home and Alexa services. Public concerns are likely to continue relating to mass data collection and data associated with advertising.",Technology Development,High,Low,
98,13,4,Speech-based Interfaces,Adoption of speech payment systems,2024,2029,"Users may be able to confirm payment of purchases with their voice using a secret password, as opposed to a PIN. Although, updating systems with new voice recordings would be problematic, particularly if the recording were intercepted. Additionally, the service would not be suitable for individuals who are mute or who suffer from speech impediments.",Integration,Low,Low,
99,13,5,Speech-based Interfaces,Natural language processing for design-by-inclusivity,2025,2030,"Speech patterns could promote improved design of speech systems, including the idea of design-by-inclusivity and ensuring that systems are designed to meet the needs of various user groups. This would enable multiple accents, dialects and language cultures to be provided with services. Patterns could also expand the development of speech systems for other use cases.",Production,Low,Low,
100,13,6,Speech-based Interfaces,"Regulating biometrics, security risks and deep fake recordings",2024,2030,"Legislation on biometric security and access controls for voice recordings should be a priority. Deep-fake recordings and mimicking voices would be a serious concern, particularly if video imaging is absent and the information exchange is solely reliant on voice. Manufacturers of speech recognition services and streaming service providers would have to be held accountable.",Legal/Ethical,HIgh,High,
101,14,0,Vehicle Controls,Advancement of ML and AI algorithms,2021,2025,"The design of new ML and AI algorithms becomes more robust. Algorithms will be able to handle a plethora of data ingests of a vehicles' environment as well as information on wireless connectivity. Tracking metrics on safety performance will be conducted in real-time. Improved algorithmic performance will directly impact the performance of reaction times, including breaking and acceleration speeds in Connected and autonomous vehicles (CAVs).",Technology Development,Medium,High,https://arxiv.org/pdf/1906.05113.pdf https://www.sciencedaily.com/releases/2019/10/191025170813.htm 
102,14,1,Vehicle Controls,Advancement of sensor technology for image recognition and eye tracking,2024,2028,Technology that can identify anomalies in image recognition patterns and track eye movement to gauge awareness levels of pedestrians will assist in providing safety assurances.,Technology Development,Medium,High,https://smarteye.se/about-us/
103,14,2,Vehicle Controls,Battery powered vehicles with long-lasting and high-performing batteries,2025,2035,"Current estimations predict that vehicle battery technology will improve, reducing charging time and expanding miles per charge. Evolving technology of lithium batteries will see an upsurge in electronic vehicle offerings and charging capabilities. The main challenge is obtaining investment and skills for R&D for testing and integration of batteries in vehicles. The funding and resources are mandatory to make this technology commercially viable.",Integration,High,Medium,https://www.theguardian.com/technology/2020/dec/22/apple-plans-self-driving-car-in-2024-with-next-level-battery-technologyhttps://www.reuters.com/article/uk-apple-autos-exclusive/exclusive-apple-targets-car-production-by-2024-and-eyes-next-level-battery-technology-sources-idUKKBN28V2PU
104,14,3,Vehicle Controls,"""Smart-City"" planning and ""Smart-Grid"" networks",2030,2040,"A significant challenge is likely to arise to enable the integration of large scale ""Smart-City"" planning to enable large scale adoption of electrical vehicles, especially ""Smart-Grids"" to localise battery power charging station docks in cities. This is evident in current planning proposals from Western countries, which aim to replace the majority of petrol vehicles with battery or hybrid-powered vehicles by 2030.",Societal Adoption,High,Low,
105,14,4,Vehicle Controls,Autonomous combat vehicles communicate together,2021,2030,"To reduce casualties in tactical warfare and to ensure targets are validated, autonomous systems could replace human operators for many military vehicles and even some weapon systems. This will have profound implications for interfaces, where the emphasis will be on direction and command rather than detailed control. Interfaces may therefore become simpler and less focused on enabling manual dexterity.",Defence Implication,Medium,Medium,
106,14,5,Vehicle Controls,Fleet vehicles routinely communicate in tandem,2025,2030,"Fleet vehicles will reduce delivery times, gas emissions and vehicle fatalities involving lorries/hauliers by communicating among themselves. The speed limit on fleet vehicles can be set and braking patterns based on sensory or internet communication between lorries. Controls may concentrate on facilitating the flow of information to humans-in-the-loop, rather than supporting direct control of the vehicles.",Technology Development,Low,Medium,
107,14,6,Vehicle Controls,Road-Side-Units (RSUs) developed to communicate traffic information,2030,2040,"The purpose of Road-Side-Units (RSUs) is to enable the rollout of Connected and Autonomous Vehicles (CAVs). These systems, potentially utilising edge computing technologies, are likely to change the way drivers interact with their vehicles. They may focus more on engaging with the RSU itself, rather than their own vehicle. These systems have the potential to significantly improve traffic flow. Traffic and weather information can be fed directly to each vehicle whilst travelling across a road system network. This may need to be also communicated to the driver by various display interfaces.",Technology Development,Medium,Medium,
108,14,7,Vehicle Controls,Vehicular ad hoc networks (VANETs) facilitate communication,2021,2025,"Vehicular ad hoc networks (VANETs) will have the capability to reduce traffic accidents and fatalities from collisions. Unlike human drivers, VANETs could significantly reduce the reaction time for emergency braking. Sensors at the front of the vehicle and internet communication between other vehicles in the vicinity will trigger a braking reaction. Interface controls are likely to concentrate on allowing these systems to be quickly overruled by a driver if required.",Technology Development,High,Medium,
109,14,8,Vehicle Controls,Decommissioning and conversion of petrol engines to hybrid vehicles,2021,2030,"The UK government has set a target to ban the selling of petrol and diesel car engines, replacing them with electric, battery powered or hybrid equivalents by 2030. Major constraints include the reliability and availability of electric charging stations, as well as the National Grid's ability to maintain demand. Planning is required to roll-out suitable and cost-effective conversion solutions of combustion engines to hybrid models. Wider concerns include identifying who is responsible to cover the cost of the conversions (consumer, manufacturer or government). Both vehicle controls and information displays may have to prioritise allowing human users to optimise energy efficiency.",Production,High,Low,
110,14,9,Vehicle Controls,Significant legal issues arise relating to accountability,2025,2035,"Legislation defining the accountability of vehicle-related deaths of Connected and autonomous vehicles (CAVs) is still undefined, as there is a lag between the development of the technology and the passing of laws that protect citizens and consumers. CAVs have caused vehicle-related deaths in the United States, under testing conditions, with errors relating to algorithmic functionality, inadequate sensor recognition and poor emergency braking times. Legislation should be rolled-out on an ongoing basis to coincide with advancements in technology. Ethical concerns include how algorithms make life-and-death decisions, between reducing casualties or ignoring built-in functions, such as keeping within road markings. Software engineers and/or manufacturers may be liable for inaccurate checking and testing of algorithmic functionality.",Legal/Ethical,Medium,Low,
111,14,10,Vehicle Controls,"Legal and privacy issues of ""Smart-Cities""",2025,2035,"Legislation defining how vehicle data is collected will be required, if connected and autonomous vehicles (CAVs) communicate over the internet. In this case, there will be a requirement to store this data at rest and preparation for transmission. RSUs may have the capacity to log each vehicle with an ID, as part of vehicle monitoring activities. VANETs that communicate with other vehicles will require internet providers to facilitate and enable accurate communication exchange via the internet.",Legal/Ethical,Medium,Low,
112,14,11,Vehicle Controls,Legal issues of cost decommissioning petrol vehicles,2022,2030,"Legislation that specifies the solution type, method and implementation process will be necessary to enable the conversion of combustion engine vehicles into hybrid models. Defining responsibility and testing of conversion models to meet health and safety standards must also be considered. This may significantly accelerate the development of vehicle control interfaces as we rapidly transfer to new technologies.",Legal/Ethical,Medium,Low,
113,15,0,Robot Controller Interfaces,Softer materials used,2023,2036,"The use of softer, more organic-like materials in robots is likely to increase. This would enable them not only to take advantage of elastic and deformable materials akin to skin and muscle, thereby supporting more nuanced interactions with objects, but would also make them appear less mechanical. This could have profound effects on the way they are perceived by people. They may begin to look more human, but also feel more human. Touch interactions with robots could seem very difficult if they were generally soft and not cold.",Production,Low,Medium,
114,15,1,Robot Controller Interfaces,Mixed interfaces incorporated,2021,2028,"A range of improved interfaces drawing on different sensory modalities are likely to be incorporated into robot design. This would see widespread use of sophisticated and reliable voice control interfaces, and gesture and image recognition technologies employed to allow the robots to respond to complex inputs.",Integration,Medium,High,
115,15,2,Robot Controller Interfaces,Rapid advances in robotics,2022,2030,"The agility, adaptability and dexterity of robots is currently quite limiting. They struggle to operate in uncontrolled and changing environments and are unable to perform many fine motor skills. However, it is possible that manufacturers and researchers will significantly address many of these issues, bringing robots up to human-levels of skill and precision in many generalisable functions. This could see robots that can walk easily across different terrains, operate hands that can perform a range of complex and delicate tasks and perform dynamic movements requiring great coordination such as catching or striking moving objects. In some instances their ability is likely to surpass human ability.",Technology Development,High,Medium,
116,15,3,Robot Controller Interfaces,Robots become an office feature,2028,2035,"Robots could become a regular fixture in the work environment. They might be employed to support telepresence activities or be used to provide refreshments or cleaning services. There could be different levels of interaction required for robots, where some might be directed by multiple office occupants (e.g. multiple people requesting refreshments) and others might need to be controlled remotely or could be primarily autonomous (e.g. a cleaning robot). The interfaces would need to reflect this multiple user, versus single or no user concept. There would also need to be ways of verifying user authorities to prevent unauthorised users from controlling a robot. Technologies such as voice recognition or the use of biometric sensors could be required.",Societal Adoption,Medium,Low,
117,15,4,Robot Controller Interfaces,Interpretation of inputs,2027,2032,"The data analytics underpinning the interpretation of human inputs for control of robots could improve dramatically, allowing a range of natural ways of communicating. For example, robots may become capable of interpreting the body language and physical gestures of users and respond accordingly. This would enable robot controller interfaces to move away from more limited and binary approaches (such as handheld controllers) towards much more flexible and expansive interface types such as image or gesture recognition.",Technology Development,High,High,
118,15,5,Robot Controller Interfaces,Human-robot handover improved,2025,2030,Collaborative working with robots could become the norm in some work environments and the safe and precise physical handover of objects being worked upon could become a necessity. It is possible that the ability could be developed for robots and humans to work dynamically alongside one another as flexibly as two humans might.,Technology Development,Low,Medium,
119,15,6,Robot Controller Interfaces,Robots used widely in care sector,2028,2035,"With the growing requirements for care provision for an increasingly elderly population, it has long been mooted that robots will be used to plug some of the gaps in the social care workforce. This could have a transformative effect on society's perception of robots. Using them to provide human care because of necessity, could influence people to consider robots for other important tasks, such as child care. Furthermore, if the primary users of robots are an elderly population, this is likely to drive interface design. Producing interfaces for those with a higher occurrence of sensory impairment and with lower technology skills could drive development towards simpler interfaces.",Societal Adoption,Medium,Medium,
120,15,7,Robot Controller Interfaces,Robot miniaturisation,2035,2040,"The miniaturisation of robots could lead to routine availability and use of robots that are too small to touch and see. This means that relying on touch interfaces and feedback of the robot's position and activity via direct sight of the robot will not be an option. Therefore, interfaces will need to somehow provide visual feedback of potentially tiny robots, that could be operating in environments which are too small to position external cameras in. This could mean that virtual reality representation of robots might be required to support their control and direction.",Technology Development,High,Low,
121,15,8,Robot Controller Interfaces,Control of multiple robots enabled,2025,2035,"The development of relatively cheap drones and their integration into coordinated swarms could lead to demand for the ability to control multiple robots simultaneously. Due to the limitations of human attentional focus, it is likely that users will be unable to provide explicit control of multiple robots at the same time, especially if they are performing delicate tasks. The control interfaces for multiple robots are therefore going to have to take into account a more abstract level of direction, where commands are issued to a collection of robots and the precise execution of those commands is carried out autonomously. It could be that technologies such as brain-computer interfaces would enable this direction to occur in a more intuitive way.",Defence Implication,High,Medium,
122,16,0,Exoskeletons,Exoskeletons used for injury mediation,2021,2028,"Ongoing experimentation with exoskeletons and their control via neural sensors may advance to the stage where exoskeletons become a standard tool for the mediation of musculoskeletal injuries. This could lead to the routine use of exoskeletons in rehabilitation, where they are used to train particular movements or provide physical support to injured joints, which could be gradually reduced. Furthermore, they could become as common as wheelchairs, being used to support individuals with long term mobility issues. Central to this expanded use will be the requirement to more reliably and less invasively capture neural signals for control.",Societal Adoption,Medium,High,
123,16,1,Exoskeletons,Exoskeletons routinely used for manual handling,2025,2030,"It may become standard, or even a mandated requirement, to wear an exoskeleton for various manual handling tasks. In particular, lumbar support could become a focus of exoskeleton design. The high incidence of lower back injuries and their cost to organisations may create a substantial market for this type of product. Existing commercially available models will need to reduce in price and increase in comfort and effectiveness to underpin this broader adoption.",Societal Adoption,Medium,Low,
124,16,2,Exoskeletons,Sophistication of joint structures improves,2027,2033,One of the key limiting factors in many exoskeleton designs is the simplicity of the joint structure. The organic joints which they support are often more sophisticated and flexible than the robotic equivalents (e.g. using slightly elastic connective tissues or subtle hinge mechanics to operate in complex ways). Matching the natural range of motion and behaviour of the human body and its joints could be achieved through the development of more complex joint designs. This could enable exoskeletons to feel like they are assisting more naturally.,Technology Development,Low,Medium,
125,16,3,Exoskeletons,Advanced materials incorporated,2026,2035,"Softer, lighter and more flexible materials are going to be required to be incorporated into exoskeletons if the technology is to move away from its currently bulky designs. These might see exoskeletons which feel more like skin tight garments with lightweight supports being developed. While these types of designs could be useful in supporting the correct alignment of the body during particular tasks, they are unlikely to be able to provide heavy lifting capability. They could still potentially augment human performance though, by adding small gains to capabilities such as muscle power. These exoskeletons could be used to support athletic performance.",Production,High,Low,
126,16,4,Exoskeletons,Data feedback provides adaptive support,2023,2029,"At the moment many exoskeletons are controlled by explicit input devices, such as held or touched controls, or rely on fairly crude feedback mechanisms. It is likely that the control of exoskeletons will become increasingly implicit, utilising the reading of neural signals, but also factoring in strain and biomechanical feedback to provide the support that is needed, without any conscious input from the user.",Integration,High,Medium,
127,16,5,Exoskeletons,Safe use standards developed,2026,2031,"As the use of exoskeletons increases, there will need to be a concomitant increase in the regulation of their production and use. Globally accepted standards could be adopted and maintained by appropriate commercial or occupational organisations. This may restrict uses in certain contexts, but also provide a framework to help manufacturers produce safer designs.",Legal/Ethical,Low,High,
128,16,6,Exoskeletons,Micro-exoskeletons commercially developed,2032,2037,"Smaller exoskeletons used to support specific joints or correct specific problems could be developed. For example, dynamic foot supports or orthotics could be developed. Similarly, devices that are designed to support finger movement and perhaps reduce repetitive strain injury or alleviate arthritic pain might be produced by manufacturers. The application of exoskeletons to smaller joint structures would mark a move away from the support of gross motor movements towards fine motor movements. This would necessitate a dramatic increase in the level of precision required by exoskeletons.",Production,Medium,Medium,
129,16,7,Exoskeletons,Operational exoskeletons deployed by the military,2028,2033,"Some of the various exoskeletons currently under development and being trialled by the military could be further developed and eventually deployed in an operational context. These are likely to concentrate on support load bearing dismounted personnel as well as protecting their leg joints from excessive strain. It could be that exoskeletons become standard issue equipment for some personnel, or they may simply be restricted to supporting the injured.",Defence Implication,Medium,Low,
130,17,0,Body-integrated interfaces,Further development of biocompatible materials,2021,2026,"The rapid development of various polymers which do not provoke immune responses when implanted within the human body is likely to continue. This should allow implants to overcome the issue of rejection, removing a potential barrier to this technology.",Production,Medium,High,
131,17,1,Body-integrated interfaces,Contactless chips become commonplace,2023,2029,"RFID and NFC implants which enable many contactless capabilities (e.g. contactless payments or opening doors) are already being implanted in early adopter communities. If the capabilities and ease of insertion for these implants increase then the user community is likely to grow. This in turn could also lead to the range of services offered and their integration into our everyday infrastructure to expand. It may be that routine transactions such as opening doors, starting cars, accessing public transport and paying for groceries could all be done via these implants.",Societal Adoption,High,Low,
132,17,2,Body-integrated interfaces,Implants draw on human body for power,2021,2028,"Implants requiring a power source may come to draw purely on the energy generated by human body movements. By harnessing this kinetic energy many devices could operate without any requirement for recharging, particularly if combined with advances in the development of ultra low energy devices. This self-sufficiency would dramatically enhance the usability of implanted devices.",Technology Development,Medium,Medium,
133,17,3,Body-integrated interfaces,Augmented vision via bionic eye implants,2032,2037,"The sophistication of bionic eye systems, such as the Argus II, could increase substantially. These systems, which currently comprise a digital camera worn externally to capture images and internal components attached to the retina, are likely to reduce in bulkiness and become easier to implant. The miniaturisation of the equipment needed to deliver visual information to the brain via the optic nerve, in combination with improvements in the image quality capable of being delivered, could have a profound effect on those with visual impairments. However, the risk and inconvenience associated with the installation of these systems and the additional capabilities they would have to confer on an individual (e.g. the ability to perceive non-visual light or to see with much greater acuity) would have to advance dramatically before those with unimpaired vision would be likely to adopt these systems to augment their own vision.",Technology Development,High,Low,
134,17,4,Body-integrated interfaces,Nanodevices utilised within the human body,2026,2030,"Researchers have already successfully and safely recharged implanted devices that are smaller than a grain of rice using a wireless method of power transfer. This removes the requirement for bulky batteries and opens up opportunities for implants to become smaller and smaller, and consequently less invasive. This might enable non-surgical routes for the delivery of implants and also increase the number of implants that could be inserted, potentially allowing a whole series of diverse functioning implants to be placed throughout the body.",Technology Development,High,Low,
135,17,5,Body-integrated interfaces,Implanted drug delivery systems routinely used,2030,2035,"The use of implanted systems for delivering drugs from within the human body could lead to a much more efficient and effective use of pharmaceutical agents. This could be widely used in the treatment of those with chronic conditions, who may currently require regular injections or take multiple pills. By incorporating monitoring technologies as well, these devices could provide drugs based on biological feedback, meaning that dosage could be optimised on a highly personalised level.",Technology Development,Medium,Medium,
136,17,6,Body-integrated interfaces,The grinder community becomes more mainstream,2029,2036,"The grinder community (those who conduct invasive biohacking procedures) currently represent a niche element of society. Much of their activity is pioneering but unregulated, and they are broadly regarded as being marginal and even extreme. However, it is possible that these early adopters of body-integrated interfaces could become more mainstream, in the way that other trends such as body piercing have become more prevalent. The popularity of biohacking as an expression of counterculture could see more and more people (particularly within younger demographics) prepared to use this group of technologies.",Societal Adoption,High,Low,
137,17,7,Body-integrated interfaces,Implanted devices routinely used in animals,2024,2029,"It is possible that implanted devices which track location or monitor body temperature could become used in more expensive pets (particularly dogs and cats) or livestock in order to prevent theft and give an indication of health. This could be driven by trends in pet theft or simply their use being promoted by social media influencers. This practice may see resistance from animal rights campaigners, but this will depend on the perceived benefits to the animals themselves.",Societal Adoption,Low,Low,
138,17,8,Body-integrated interfaces,Making use of existing common implants,2025,2032,"There are currently a large number of prosthetics and devices implanted into the human body for cosmetic and medical purposes. It is possible that such implants might be made much smarter by adding additional electronic components. Dental implants, breast implants or pacemakers could all potentially be augmented in order to collect or relay information from within the human body. This would effectively piggyback on existing surgical processes to install new bio-interfaces. For example pacemakers could collect increasing amounts of information about cardiovascular function or silicone body implants could be fitted with health monitoring sensors.",Production,Low,Medium,
139,17,9,Body-integrated interfaces,Licensing and regulation of implant industry,2025,2030,"The regulation of implants is likely to be complex. Within the medical domain, existing mechanisms could straightforwardly be extended with the introduction of new expert bodies. However, for more commercial applications in the leisure and entertainment sectors, the public are likely to expect centralised regulation. Their concerns will probably centre on safety and also data security (including reassurance that implanted devices could not be hacked).",Legal/Ethical,Medium,High,
140,17,10,Body-integrated interfaces,Development of a biohacking black market,2027,2032,"In the event that the implant industry becomes effectively regulated, it is possible that an unregulated market would spring up for those wishing to bypass restrictions or access more affordable options. This would have implications for enforcement and the monitoring of illegal activities.",Legal/Ethical,Low,Low,
141,17,11,Body-integrated interfaces,Integration of implants into a whole body system,2033,2040,"Multiple coordinated sensors could be used all over the body, providing an extensive amount of information about the health of an individual. This could mean that live data about temperature, hydration status, stress related hormone levels, heart rate and blood flow, could be made available to medical professionals or AI processing. This could radically transform the medical diagnostic process, increasing the prediction of health problems and reducing dependency on medical staff charged with routine measurements.",Technology Development,Medium,Medium,
142,17,12,Body-integrated interfaces,Use of tiny AI,2030,2035,"Implantable devices would benefit from embedded AI capabilities to manage and even process some of their potentially large data streams. However, due to size and power restrictions it is likely to have access only to limited resources. So-called ‘Tiny AI’, the effort to reduce the scale of machine learning algorithms such that they can be pushed to smaller edge devices, could be an important development in this context. This in vivo processing could confer benefits such as anonymisation at source and more efficient central data analysis (because only relevant data is transmitted).",Integration,Low,Medium,
143,18,0,Smart Home Devices,Connected security devices widely used,2021,2025,"It is possible that one of the key functionalities to emerge out of the smart home market is connected security devices that form security systems. These might combine biometrics, image recognition and voice activated passwords to control access to domestic properties and provide security when the residents are away. Similar systems could easily be adapted for use within a defence context.",Defence Implication,Medium,High,
144,18,1,Smart Home Devices,Significant uptake of smart appliances,2023,2028,"The development of appliances with genuinely useful functionality and the incorporation of this technology into standard models is likely to increase the adoption of smart devices in the domestic setting. Key factors that could lead to these devices becoming more mainstream, could include the integration of voice commands into domestic appliances and more efficient use of appliances based on automation (e.g. operating overnight without human input). It is possible most new appliances will be manufactured to have some smart features.",Societal Adoption,High,Medium,
145,18,2,Smart Home Devices,Adopted in military accommodation,2028,2032,"The growing use of smart appliances is likely to be reflected in military accommodation. Military families are likely to expect the same supporting infrastructure in their homes as is available in the commercial market. This technology could extend to naval platforms which provide accommodation for their crew. This could help reduce crew sizes by replacing some of the tasks, such as cleaning and cooking, which are currently carried out by humans.",Defence Implication,Medium,High,
146,18,3,Smart Home Devices,Full integration of domestic devices,2027,2035,"One important factor which is impeding the effectiveness and adoption of smart home devices relates to the lack of interconnectivity and integration for devices from different manufacturers. It is likely in the future that users will want all of their home devices to operate as a coordinated whole. This may be achieved through central hub stations and infrastructure or by the introduction of better compatibility and common standards. The control of this entire system could be achieved through smartphone apps in the first instance, but is more likely to move towards voice control for ease of use.",Integration,Medium,Medium,
147,18,4,Smart Home Devices,Data privacy issues addressed,2023,2028,"The potential collection and analysis of so much data from the domestic environment is likely to cause significant concern among the public. There may be calls to specifically regulate the use of this data by the commercial service providers. There will also probably be a drive to ensure very high security of the handling of this information. Obtaining this information would provide hackers with details of people's movements, activities and preferences relating to their home environments, which is likely to increase sensitivity.",Legal/Ethical,Low,Medium,
148,18,5,Smart Home Devices,Delivery of predictive services,2032,2038,"Patterns of use are likely to develop rich datasets which can be used to predict future required activity. This could lead devices to be able to anticipate their users needs and start operating accordingly. Functions containing lags, such as house heating, could straightforwardly be learnt by the controlling system. External temperature, time of day, in house activity (e.g. whether moving or not) could all be combined to understand demand and make micro adjustments. In this way, a user's explicit interactions with these devices (e.g. via buttons or dials) may be significantly reduced.",Technology Development,High,Medium,
149,18,6,Smart Home Devices,Devices sense user state,2035,2040,"Sensors on smart home devices may be able to gather information about the physical or mental state of their users and adapt their function and activity accordingly. This could be based on a combination of sensors that collect data on the house occupants (e.g. infrared cameras determining the temperature of people). For example, they may appreciate that the user does not want to be bothered by noise because they are concentrating on a task, and moderate their activity accordingly. In combination with predictive analytics, this could lead to smart devices performing seemingly considerate actions, such as putting the kettle on for someone under stress.",Integration,High,Medium,
150,18,7,Smart Home Devices,Smart power generation enabled,2027,2032,"One of the key drivers behind adoption of smart home devices could be their ability to manage more efficient energy use, perhaps specifically supporting the use of renewables or off grid power provision (e.g. utilising a house's own solar panels). By understanding patterns of life and anticipating demand, these devices may be able to better schedule and coordinate their activities to manage energy demand optimally within a house, but also across an entire area. Users may have the option to toggle between convenience and energy use optimisation.",Technology Development,Medium,High,
151,19,0,Rapid 3D Modelling,Speed and cost of printing reduces significantly,2021,2029,"In order for 3D printers or other additive manufacturing equipment to become responsive interfaces, they will need to increase their printing processes dramatically. To enable them to become involved in a dynamic feedback loop with a human user, they could become able to translate a design into an object that could be held within a few seconds or less, and be able to reprint or amend that object based upon human input in the same amount of time. This could allow a machine to deliver information, in the form of an object that can be seen and touched, to a human user, and a human to deliver information back to the machine by communicating changes to the object's design in a rapid way. This would be extremely useful for design and manufacture.",Societal Adoption,High,High,
152,19,1,Rapid 3D Modelling,Integration with 3D visual displays,2030,2035,The rapid production of physical objects could be combined with the use of projected 3D imagery to give real solidity to a projected scene. This could mean that models of objects are developed which can be made to look like the real object by projecting imagery over the top. This might be used in contexts such as theatre sets or prototype design.,Integration,Low,Low,
153,19,2,Rapid 3D Modelling,Direct shaping of models,2023,2028,Rapidly adjusting printed objects could potentially be achieved through integration with other interfaces such as augmented reality or 3D drawing tools (e.g. a stylus). This might enable users to hold an object and signal changes required to its design (e.g. by drawing on it) and then have the object itself adapted (e.g. by laser cutting) or have the object reprinted.,Integration,Low,Low,
154,19,3,Rapid 3D Modelling,New printing techniques and substrates utilised,2021,2029,"Developing techniques (e.g. light polymerised approaches such as continuous liquid interface production) and the development of new substrate materials, if commercialised successfully, could dramatically change the production process and outputs. This could see much faster printing and objects that have much more diverse properties (e.g. elasticity, strength, mass).",Production,High,Medium,
