GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
440,5,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,6,Drawing or writing implements,1,1,3
441,6,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,7,Image recognition cameras,1,1,3
442,7,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,8,Eye tracking equipment,1,1,3
443,8,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,9,Physiological monitors,1,1,2
444,9,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,10,Physical virtual reality control interfaces,1,1,1
445,10,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,11,Smart clothing and other wearables,1,1,2
446,11,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,12,Telepresence equipment,1,1,7
447,12,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,13,Speech-based interfaces,1,1,1
448,13,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,14,Vehicle controls,1,1,1
449,14,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,15,Robot controller interfaces,1,1,1
450,15,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,16,Exoskeletons,1,1,1
451,16,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,17,Body-integrated interfaces,1,1,5
452,17,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,18,Smart home devices,1,1,2
453,18,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,19,Rapid 3D modelling,1,1,3
454,19,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,20,Haptic feedback equipment,1,1,2
455,20,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,21,Physical/tactile displays,1,1,6
456,21,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,22,Visual/light indicators,1,1,4
457,22,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,23,1D visual displays,1,1,6
458,23,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,24,3D visual displays,1,1,6
459,24,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,25,Virtual reality headsets,1,1,6
460,25,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,26,Augmented reality glasses,1,1,6
461,26,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,27,Audio indicators,1,1,5
462,27,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,28,Brain computer interface,1,1,3
463,28,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.1,Increasing general complexity of land environment (complex / cluttered / contested).,Operating in complex land environment,29,Olfactory interfaces,1,1,2
464,29,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Complex urban operations,1,Touchscreens,1,1,6
465,30,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,2,Touch-interactive large objects,1,1,3
466,31,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,3,Gesture and movement sensors,1,1,3
467,32,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,4,Handheld controllers,1,1,1
468,33,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,5,Keyboard and text input devices,1,1,2
469,34,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,6,Drawing or writing implements,1,1,3
470,35,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,7,Image recognition cameras,1,1,3
471,36,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,8,Eye tracking equipment,1,1,3
472,37,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,9,Physiological monitors,1,1,2
473,38,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,10,Physical virtual reality control interfaces,1,1,1
474,39,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,11,Smart clothing and other wearables,1,1,2
475,40,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,12,Telepresence equipment,1,1,7
476,41,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,13,Speech-based interfaces,1,1,1
477,42,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,14,Vehicle controls,1,1,1
478,43,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,15,Robot controller interfaces,1,1,1
479,44,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,16,Exoskeletons,1,1,1
480,45,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,17,Body-integrated interfaces,1,1,5
481,46,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,18,Smart home devices,1,1,2
482,47,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,19,Rapid 3D modelling,1,1,3
483,48,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,20,Haptic feedback equipment,1,1,2
484,49,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,21,Physical/tactile displays,1,1,6
485,50,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,22,Visual/light indicators,1,1,4
486,51,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,23,1D visual displays,1,1,6
487,52,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,24,3D visual displays,1,1,6
488,53,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,25,Virtual reality headsets,1,1,6
489,54,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,26,Augmented reality glasses,1,1,6
490,55,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,27,Audio indicators,1,1,5
491,56,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,28,Brain computer interface,1,1,1
492,57,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.2,Operations in complex future cities (unplanned development considerations).,Unplanned development considerations,29,Olfactory interfaces,1,1,1
493,58,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,1,Touchscreens,1,1,6
494,59,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,2,Touch-interactive large objects,1,1,3
495,60,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,3,Gesture and movement sensors,1,1,3
496,61,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,4,Handheld controllers,1,1,1
497,62,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,5,Keyboard and text input devices,1,1,2
498,63,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,6,Drawing or writing implements,1,1,3
499,64,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,7,Image recognition cameras,1,1,3
500,65,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,8,Eye tracking equipment,1,1,3
501,66,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,9,Physiological monitors,1,1,2
502,67,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,10,Physical virtual reality control interfaces,1,1,1
503,68,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,11,Smart clothing and other wearables,1,1,2
504,69,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,12,Telepresence equipment,1,1,7
505,70,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,13,Speech-based interfaces,1,1,1
506,71,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,14,Vehicle controls,1,1,1
507,72,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,15,Robot controller interfaces,1,1,1
508,73,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,16,Exoskeletons,1,1,1
509,74,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,17,Body-integrated interfaces,1,1,5
510,75,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,18,Smart home devices,1,1,2
511,76,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,19,Rapid 3D modelling,1,1,3
512,77,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,20,Haptic feedback equipment,1,1,2
513,78,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,21,Physical/tactile displays,1,1,6
514,79,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,22,Visual/light indicators,1,1,4
515,80,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,23,1D visual displays,1,1,6
516,81,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,24,3D visual displays,1,1,6
517,82,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,25,Virtual reality headsets,1,1,6
518,83,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,26,Augmented reality glasses,1,1,6
519,84,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,27,Audio indicators,1,1,5
520,85,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,28,Brain computer interface,1,1,4
521,86,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.3,Operations in complex future cities ('megacity' considerations).,Accounting for megacity requirements,29,Olfactory interfaces,1,1,2
522,87,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,1,Touchscreens,1,1,6
523,88,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,2,Touch-interactive large objects,1,1,3
524,89,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,3,Gesture and movement sensors,1,1,3
525,90,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,4,Handheld controllers,1,1,1
526,91,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,5,Keyboard and text input devices,1,1,2
527,92,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,6,Drawing or writing implements,1,1,3
528,93,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,7,Image recognition cameras,1,1,3
529,94,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,8,Eye tracking equipment,1,1,3
530,95,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,9,Physiological monitors,1,1,2
531,96,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,10,Physical virtual reality control interfaces,1,1,1
532,97,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,11,Smart clothing and other wearables,1,1,2
533,98,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,12,Telepresence equipment,1,1,7
534,99,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,13,Speech-based interfaces,1,1,1
535,100,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,14,Vehicle controls,1,1,1
536,101,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,15,Robot controller interfaces,1,1,1
537,102,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,16,Exoskeletons,1,1,1
538,103,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,17,Body-integrated interfaces,1,1,5
539,104,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,18,Smart home devices,1,1,2
540,105,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,19,Rapid 3D modelling,1,1,3
541,106,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,20,Haptic feedback equipment,1,1,2
542,107,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,21,Physical/tactile displays,1,1,6
543,108,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,22,Visual/light indicators,1,1,4
544,109,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,23,1D visual displays,1,1,6
545,110,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,24,3D visual displays,1,1,6
546,111,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,25,Virtual reality headsets,1,1,6
547,112,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,26,Augmented reality glasses,1,1,6
548,113,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,27,Audio indicators,1,1,5
549,114,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,28,Brain computer interface,1,1,1
550,115,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.4,Littoral operations carried out in complex contested spaces.,Contested littoral operations,29,Olfactory interfaces,1,1,1
551,116,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,1,Touchscreens,1,1,6
552,117,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,2,Touch-interactive large objects,1,1,3
553,118,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,3,Gesture and movement sensors,1,1,3
554,119,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,4,Handheld controllers,1,1,1
555,120,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,5,Keyboard and text input devices,1,1,2
556,121,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,6,Drawing or writing implements,1,1,3
557,122,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,7,Image recognition cameras,1,1,3
558,123,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,8,Eye tracking equipment,1,1,3
559,124,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,9,Physiological monitors,1,1,2
560,125,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,10,Physical virtual reality control interfaces,1,1,1
561,126,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,11,Smart clothing and other wearables,1,1,2
562,127,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,12,Telepresence equipment,1,1,7
563,128,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,13,Speech-based interfaces,1,1,1
564,129,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,14,Vehicle controls,1,1,1
565,130,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,15,Robot controller interfaces,1,1,1
566,131,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,16,Exoskeletons,1,1,1
567,132,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,17,Body-integrated interfaces,1,1,5
568,133,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,18,Smart home devices,1,1,2
569,134,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,19,Rapid 3D modelling,1,1,3
570,135,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,20,Haptic feedback equipment,1,1,2
571,136,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,21,Physical/tactile displays,1,1,6
572,137,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,22,Visual/light indicators,1,1,4
573,138,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,23,1D visual displays,1,1,6
574,139,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,24,3D visual displays,1,1,6
575,140,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,25,Virtual reality headsets,1,1,6
576,141,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,26,Augmented reality glasses,1,1,6
577,142,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,27,Audio indicators,1,1,5
578,143,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,28,Brain computer interface,1,1,3
579,144,FAMILY3,"3. Operate in complex, cluttered and contested environments",3.5,Foreseeable need for future space operations (includes both deconfliction and also management of orbital capacity / bandwidth).,Managing complex space environment,29,Olfactory interfaces,1,1,1
580,0,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,1,Touchscreens,1,1,2
581,1,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,2,Touch-interactive large objects,1,1,1
582,2,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,3,Gesture and movement sensors,1,1,1
583,3,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,4,Handheld controllers,1,1,1
584,4,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,5,Keyboard and text input devices,1,1,1
585,5,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,6,Drawing or writing implements,1,1,2
586,6,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,7,Image recognition cameras,0,0,0
587,7,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,8,Eye tracking equipment,1,1,1
588,8,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,9,Physiological monitors,0,0,0
589,9,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,10,Physical virtual reality control interfaces,1,1,1
590,10,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,11,Smart clothing and other wearables,1,1,1
591,11,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,12,Telepresence equipment,1,1,2
592,12,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,13,Speech-based interfaces,1,1,1
593,13,FAMILY4,4. Operation of novel equipment,4.1,Additive manufacture is seen as a key enabler allowing the military to provide local and adaptable (even personalised) manufacture in-theatre reducing pressure on lines of supply.,Exploiting additive manufacturing,14,Vehicle controls,1,1,1
