Cognitive Challenge Family Name,Individual Cognitive Challenge Short Name,Individual Cognitive Challenge Long Name,Technology Name,Linked 0/1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,Visual/light indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,2D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,3D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,Virtual reality headsets,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,Augmented reality glasses,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Operating with complex ROE,Understanding and operating within complex evolving Rules of Engagement (ROE) / legal / social / political context surrounding use of automated and autonomous systems.,Audio indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Touchscreens,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Handheld controllers,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Keyboard and text input devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Drawing or writing implements,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Image recognition cameras,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Eye tracking equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Physiological monitors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Telepresence equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Speech-based interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Vehicle controls,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Exoskeletons,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Smart home devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Haptic feedback equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Physical/tactile displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Visual/light indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,2D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,3D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Virtual reality headsets,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Augmented reality glasses,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Using long range weapons,Operation of long range or super-long range weapons systems or smart/dwell munitions.,Audio indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Touchscreens,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Touch-interactive large objects,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Gesture and movement sensors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Handheld controllers,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Keyboard and text input devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Drawing or writing implements,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Image recognition cameras,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Eye tracking equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Physiological monitors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Telepresence equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Speech-based interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Vehicle controls,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Exoskeletons,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Body-integrated interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Smart home devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Rapid 3D modelling,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Haptic feedback equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Physical/tactile displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Visual/light indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,2D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,3D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Virtual reality headsets,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Augmented reality glasses,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Countering CBRN proliferation,Countering proliferation of Chemical / Biological / Radiological / Nuclear (CBRN) threats (this implicates greater use of robotics / unmanned vehicles etc).,Audio indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Touchscreens,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Touch-interactive large objects,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Gesture and movement sensors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Handheld controllers,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Keyboard and text input devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Drawing or writing implements,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Image recognition cameras,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Eye tracking equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Physiological monitors,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Telepresence equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Speech-based interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Vehicle controls,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Exoskeletons,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Body-integrated interfaces,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Smart home devices,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Rapid 3D modelling,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Haptic feedback equipment,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Physical/tactile displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Visual/light indicators,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,2D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,3D visual displays,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Virtual reality headsets,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Augmented reality glasses,1,,,,,,,,,,,,,,,
2. Interacting with automation and autonomy,Platform automation,Replacement of humans in platforms that have previously been human operated.,Audio indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Touchscreens,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Touch-interactive large objects,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Gesture and movement sensors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Handheld controllers,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Keyboard and text input devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Drawing or writing implements,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Image recognition cameras,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Eye tracking equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Physiological monitors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Telepresence equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Speech-based interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Vehicle controls,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Exoskeletons,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Body-integrated interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Smart home devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Rapid 3D modelling,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Haptic feedback equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Physical/tactile displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Visual/light indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,2D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,3D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Virtual reality headsets,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Augmented reality glasses,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Operating in complex land environment,Increasing general complexity of land environment (complex / cluttered / contested).,Audio indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Complex urban operations,Operations in complex future cities (unplanned development considerations).,Touchscreens,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Touch-interactive large objects,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Gesture and movement sensors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Handheld controllers,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Keyboard and text input devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Drawing or writing implements,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Image recognition cameras,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Eye tracking equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Physiological monitors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Telepresence equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Speech-based interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Vehicle controls,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Exoskeletons,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Body-integrated interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Smart home devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Rapid 3D modelling,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Haptic feedback equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Physical/tactile displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Visual/light indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,2D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,3D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Virtual reality headsets,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Augmented reality glasses,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Unplanned development considerations,Operations in complex future cities (unplanned development considerations).,Audio indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Touchscreens,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Touch-interactive large objects,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Gesture and movement sensors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Handheld controllers,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Keyboard and text input devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Drawing or writing implements,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Image recognition cameras,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Eye tracking equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Physiological monitors,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Physical virtual reality control interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Smart clothing and other wearables,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Telepresence equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Speech-based interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Vehicle controls,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Robot Controller Interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Exoskeletons,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Body-integrated interfaces,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Smart home devices,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Rapid 3D modelling,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Haptic feedback equipment,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Physical/tactile displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Visual/light indicators,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,2D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,3D visual displays,1,,,,,,,,,,,,,,,
"3. Operate in complex, cluttered and contested environments",Accounting for megacity requirements,Operations in complex future cities ('megacity' considerations).,Virtual reality headsets,1,,,,,,,,,,,,,,,
